county,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade
jackson,1.33551,0.625814,2.61147,0.468294,0.79393,1.01914,0.532376,1.24496,0.607044,0.0,0.436737,0.243671,0.790605,0.240173,2.83537,0.794377,1.28212,0.997756,1.38975,0.812242
jefferson,0.696315,1.31659,4.98689,0.803825,1.20792,0.938764,0.934591,1.2652,0.65678,0.0,0.280732,0.0350716,0.914549,0.654401,3.66353,0.488993,0.656989,0.399149,2.11579,0.0384119
lafayette,0.580559,0.650514,7.54566,0.307928,0.83542,1.62922,0.00842404,0.534082,0.0742204,0.0,0.660436,2.7218,1.27639,0.382025,3.21902,1.37811,0.814294,1.60551,0.745096,0.872499
lake,1.24756,1.42163,1.2726,3.55581,1.67339,0.741852,0.704169,0.921741,0.876635,1.2284,0.398475,0.288219,1.22408,0.442227,0.908769,1.22828,1.28081,0.521994,1.06608,0.586145
lee,1.24379,1.64412,0.774229,1.39218,1.82423,0.786462,0.70479,0.962745,0.918279,0.707079,0.336668,0.436099,1.0277,0.70934,0.847997,1.6961,1.21863,0.761485,0.583479,1.03341
leon,1.04164,1.02569,0.338241,0.997128,0.679443,1.58166,0.833504,0.904662,0.474181,0.0,0.168787,0.0,1.05306,1.1023,3.5525,1.15306,0.989142,0.433484,0.61397,0.410879
levy,0.850363,1.14901,4.55311,0.702412,1.60116,0.795854,0.662335,1.0122,0.396077,0.974982,0.459794,0.0944709,1.29702,0.465395,1.57652,1.21473,1.20485,0.947495,2.02124,0.770842
liberty,0.487857,0.86307,4.8097,0.0167281,1.46185,1.20838,0.560145,0.91039,0.205633,0.0,0.329501,2.1458,0.758839,0.203132,3.84406,1.15874,0.670209,0.165716,6.45107,2.28302
madison,0.910041,0.980436,2.9047,0.244196,1.05059,1.21629,0.631725,0.988594,0.203247,0.0,0.946653,0.0,0.736032,0.473083,2.58682,0.251301,1.05214,1.01857,1.68725,0.943457
manatee,1.21187,1.13583,0.954084,1.22197,1.3809,0.82852,0.761771,0.925854,0.959668,1.10302,0.770753,0.139442,0.941151,0.819851,0.457573,1.65322,1.43138,0.974415,0.580955,0.783399
marion,1.02288,1.43767,3.62666,0.827692,1.31807,0.747434,0.583928,1.05241,0.676889,0.778159,0.705622,0.0581036,1.14239,0.437549,1.11206,1.05457,1.58331,0.626388,0.473535,0.926393
martin,1.08036,1.39301,1.184,1.60425,1.41044,0.740051,0.856608,1.05136,0.892589,0.242681,0.535816,0.154653,1.20734,1.08373,0.749472,1.89653,0.98213,0.637267,2.42669,0.986583
miami-dade,1.20725,1.26657,0.855302,0.959581,1.28544,0.778172,0.901752,0.900378,0.847172,0.460456,0.470164,0.127963,1.24535,0.887459,0.769257,1.50039,1.07911,1.68753,0.99815,1.31847
monroe,2.8923,0.983637,1.35063,1.89107,1.15691,0.576325,0.57892,0.625323,0.672764,0.616623,0.234003,0.256062,0.893888,0.767658,1.35495,2.3074,1.08595,0.968983,1.80223,0.644101
nassau,1.24911,1.15615,0.514876,1.19932,1.31492,0.679166,0.856762,0.967834,0.919996,0.808807,0.759202,0.265774,1.01034,0.795023,1.15189,1.30964,1.04899,1.50948,1.83211,0.835199
okaloosa,1.60102,1.07918,0.325458,1.06541,1.13973,0.68095,0.727122,0.732487,0.44698,0.477791,0.494491,0.182537,1.26438,1.11427,2.33052,1.88789,1.13662,0.856101,1.15242,0.520233
okeechobee,1.03152,1.33921,8.47697,0.979573,1.47637,0.985666,0.528846,0.717137,0.378929,0.0,0.366752,0.125529,1.32896,0.280194,0.979533,0.501728,1.29043,0.951833,2.67693,0.967893
orange,1.65965,1.49305,0.509908,3.26482,0.993126,0.862746,0.703118,0.778014,0.724772,1.01006,0.465701,0.0501819,0.881005,0.976177,0.584443,1.82537,1.00727,1.16552,0.794719,0.975293
osceola,1.74095,1.48543,0.326661,4.32514,0.89869,0.719592,0.414598,0.696629,0.753496,2.39831,0.222145,0.208274,1.0968,0.469507,0.632186,1.36247,1.35351,1.65961,1.14132,1.24224
palm beach,1.15236,1.67427,0.713061,1.4137,1.27251,0.79018,0.770713,0.949543,0.872735,0.786951,0.422785,0.0578255,1.29748,1.02873,0.827535,1.82885,1.14051,0.814126,1.41735,0.789887
pasco,0.948209,1.44314,0.626798,0.953639,1.56806,0.829139,1.0784,1.11376,0.481866,1.5613,0.497635,0.262697,1.03376,0.884866,0.753142,0.781466,1.33043,0.799081,1.57887,0.968697
pinellas,1.12456,1.21503,0.247218,1.17192,0.817486,0.684446,1.42832,1.17402,0.807784,2.14991,0.764952,0.142456,0.974937,1.11782,0.885827,1.32146,1.14733,0.729352,0.68662,0.801625
polk,1.24476,1.49952,1.78653,2.45712,1.17939,0.821051,0.882948,0.703108,0.605694,0.0,0.693613,0.315915,0.821021,0.556304,0.899144,1.28446,1.49214,1.0173,0.793848,0.904164
putnam,1.07149,1.23008,3.66086,0.522696,1.45394,0.965317,0.548248,0.941589,0.584809,0.0,0.852542,0.156243,0.937962,0.535447,1.1203,1.13237,1.34298,0.653295,1.76794,0.571407
santa rosa,1.07121,1.05545,0.78672,0.567112,1.20287,0.851587,0.88083,1.01642,0.664425,0.0,0.555371,0.81213,1.19336,0.985327,1.83329,1.1656,1.15047,1.06932,1.35758,0.611552
sarasota,1.12423,1.07896,1.36629,1.42317,1.5561,0.724059,0.698425,1.15306,1.11234,0.233977,0.535944,0.0682326,1.17684,0.818052,0.988558,1.65719,1.16972,0.744874,0.696336,0.60245
seminole,1.00629,1.22143,0.445117,1.26547,1.20656,0.907369,1.0754,0.995566,1.50382,2.08643,0.708104,0.0660475,0.918571,1.36438,0.614734,1.17492,1.02138,0.903203,0.6668,0.760905
st johns,1.07327,1.03235,0.323808,1.74409,0.813591,0.916194,1.98474,0.84945,0.774231,1.71666,0.609242,0.112022,0.919263,1.26665,1.02994,1.67549,1.07198,0.825561,0.670329,1.12802
st lucie,0.919612,1.93665,1.73987,0.812786,1.52062,0.635611,0.587444,1.07935,1.23512,0.438854,0.568484,0.0,0.891885,0.441082,1.04953,0.99765,1.52973,1.03818,1.13629,0.785775
sumter,1.04475,1.13242,1.02782,1.73466,1.13151,0.672448,0.683975,1.09602,0.758357,0.300285,0.45582,0.370975,1.01747,0.722393,1.23043,1.4965,1.42087,0.968591,1.57671,1.35595
suwannee,0.979966,0.949985,4.44482,0.572346,1.1799,0.632659,0.54039,0.955393,0.636389,1.30544,0.611118,0.642996,1.26796,0.386014,2.10495,0.898144,1.34274,1.17267,1.27922,0.868175
taylor,1.35659,0.68412,2.26235,0.142368,0.760749,1.27872,0.409305,0.970278,0.0,0.0,1.41841,0.0,0.874966,0.504575,2.34146,1.56522,1.14541,0.205817,0.0,0.405225
union,0.459658,0.965069,3.42281,0.690597,0.665687,0.834615,0.849215,0.912388,0.203838,0.0,0.581303,0.0,0.95885,0.400225,4.21379,0.770918,1.14488,1.78815,0.0,0.723565
volusia,1.22304,1.21823,0.5946,1.1158,1.31272,0.837821,0.753404,1.04932,0.76993,0.662479,0.587152,0.283625,0.867282,0.773279,1.11723,1.30585,1.24877,1.06915,1.24629,0.986711
wakulla,0.632242,1.41354,0.527844,0.697777,1.27186,1.05567,0.845661,0.76822,0.637327,0.0,0.489071,0.277151,0.859872,0.644773,3.99809,1.12414,0.881251,0.743758,3.17254,0.918922
walton,1.7742,1.51859,0.471591,0.927258,1.7012,0.542211,0.601297,0.709858,0.555584,0.529403,0.440667,0.775859,0.990902,0.986214,1.17254,3.11713,1.25875,0.740702,1.24594,0.494403
washington,0.908604,1.71264,1.4588,1.18,1.88011,0.554881,0.709466,1.05372,0.582608,0.0,0.456662,0.603899,0.938726,0.57241,2.21947,0.875196,1.09978,1.05034,0.7106,0.721158
