county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue
liberty,120,17,13,5,21,2,2,4,21,4,6,24,3357,70.1,142.9,17,82,351604,28,37124.8,4,288.5,12854.5,1471.44,11894.92,1361.6,92.5,2241.89,256.63,17.4,3080.16,352.58,24.0,1076.1,123.18,8.4,3435.84,393.3,26.7,277.98,31.82,2.2,267.06,30.57,2.1
madison,369,24,36,12,93,3,24,30,57,26,28,33,8481,138.5,360.7,43,62,338622,24,1080.0,6,114.7,43113.8,2241.07,42902.57,2230.09,99.5,5610.13,291.62,13.0,9052.12,470.53,21.0,2293.64,119.22,5.3,7033.42,365.6,16.3,436.16,22.67,1.0,545.64,28.36,1.3
manatee,10893,104,1490,404,2089,163,1211,2243,1097,955,915,102,172690,209.8,729.1,107,84,308340,94,15806.6,78,49.6,888359.0,2484.29,782312.0,2187.73,88.1,160523.0,448.9,18.1,159410.0,445.79,17.9,161643.0,452.03,18.2,91026.0,254.55,10.2,16171.0,45.22,1.8,31198.0,87.24,3.5
marion,8348,276,1082,264,1827,79,826,1432,997,730,649,100,164050,249.1,934.7,42,374,1596899,144,51885.6,83,2977.0,427462.9,1236.34,413769.64,1196.73,96.8,73434.98,212.39,17.2,139749.51,404.19,32.7,32927.04,95.23,7.7,44159.22,127.72,10.3,3564.8,10.31,0.8,14436.26,41.75,3.4
martin,6322,69,776,251,1210,61,621,1352,623,555,669,52,78131,159.9,579.8,74,155,680854,135,28975.9,66,644.0,387255.0,2566.81,365600.09,2423.28,94.4,97959.55,649.3,25.3,113974.21,755.45,29.4,71029.73,470.8,18.3,31816.35,210.89,8.2,3132.54,20.76,0.8,6974.05,46.23,1.8
miami-dade,98180,475,6589,2870,25213,1512,10618,22084,10654,7356,8367,343,989435,580.9,2737.2,695,371,4159975,585,144739.1,144,3713.3,11103483.0,4111.19,10696154.09,3960.37,96.3,2214837.33,820.07,19.9,1429644.06,529.34,12.9,917889.32,339.86,8.3,1578735.56,584.54,14.2,437881.77,162.13,3.9,2056986.05,761.62,18.5
monroe,4494,44,544,85,939,57,517,803,275,720,380,89,52764,119.2,300.9,58,131,368098,2062,68032.0,108,561.5,428503.6,5634.72,421662.55,5544.76,98.4,56892.96,748.13,13.3,108409.72,1425.56,25.3,67128.13,882.72,15.7,25554.64,336.04,6.0,35331.69,464.6,8.2,30166.8,396.69,7.0
nassau,2166,36,296,46,438,26,203,423,202,234,193,45,35009,111.5,403.9,65,61,132316,95,25294.0,118,9142.7,120258.6,1544.93,114411.36,1469.81,95.1,22278.15,286.2,18.5,42981.44,552.17,35.7,4073.7,52.33,3.4,8217.72,105.57,6.8,4532.56,58.23,3.8,3712.83,47.7,3.1
okaloosa,6373,21,761,159,1220,69,704,1324,667,750,492,142,92407,215.5,705.4,85,87,420233,169,62924.0,65,214.9,265033.9,1373.77,233687.56,1211.29,88.2,59252.49,307.13,22.4,67737.52,351.11,25.6,35750.51,185.31,13.5,32073.83,166.25,12.1,9174.47,47.55,3.5,4783.44,24.79,1.8
okeechobee,986,95,149,27,202,10,58,138,103,88,72,37,18509,103.6,241.9,37,160,746219,27,47439.8,87,1698.8,49990.7,1225.08,47125.8,1154.87,94.3,8195.96,200.85,16.4,21806.26,534.39,43.6,2882.07,70.63,5.8,6126.68,150.14,12.3,625.6,15.33,1.3,2103.73,51.55,4.2
