county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other_x,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade,biomass,coal,hydroelectric,natural gas,nuclear,other_y,petroleum,solar,ihProgramDeclared_Coastal Storm,ihProgramDeclared_Fire,ihProgramDeclared_Flood,ihProgramDeclared_Freezing,ihProgramDeclared_Human Cause,ihProgramDeclared_Hurricane,ihProgramDeclared_Severe Storms,ihProgramDeclared_Tornado,iaProgramDeclared_Coastal Storm,iaProgramDeclared_Fire,iaProgramDeclared_Flood,iaProgramDeclared_Freezing,iaProgramDeclared_Human Cause,iaProgramDeclared_Hurricane,iaProgramDeclared_Severe Storms,iaProgramDeclared_Tornado,paProgramDeclared_Coastal Storm,paProgramDeclared_Fire,paProgramDeclared_Flood,paProgramDeclared_Freezing,paProgramDeclared_Human Cause,paProgramDeclared_Hurricane,paProgramDeclared_Severe Storms,paProgramDeclared_Tornado,hmProgramDeclared_Coastal Storm,hmProgramDeclared_Fire,hmProgramDeclared_Flood,hmProgramDeclared_Freezing,hmProgramDeclared_Human Cause,hmProgramDeclared_Hurricane,hmProgramDeclared_Severe Storms,hmProgramDeclared_Tornado,number of claims_irma,closed claims (paid)_irma,closed claims (not paid)_irma,number claims open_irma,percent claims closed_irma,number of claims_michael,closed claims (paid)_michael,closed claims (not paid)_michael,number claims open_michael,percent claims closed_michael,foreign_avg,us_avg,avg_age,hospitals
desoto,630,92,95,15,127,4,31,73,46,64,44,38,14590,82.9,208.0,28,201,1516788,17,1148.6,24,1503.3,53647.6,1526.64,50837.83,1446.68,94.8,11475.32,326.55,21.4,15883.68,452.0,29.6,8398.87,239.0,15.7,4154.48,118.22,7.7,798.32,22.72,1.5,1620.72,46.12,3.0,0.748296,1.2474399999999999,16.9162,0.810995,1.6669599999999998,0.532573,0.42346000000000006,0.556765,0.22657399999999997,0.0,0.532226,0.25669699999999995,0.9708700000000001,0.22499699999999997,1.44159,0.5902310000000001,1.05187,0.891817,1.9523400000000002,0.722102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"2,165 ","1,504 ",610 ,51 ,97.6%,0,0,0,0,0,39.9,40.4,40.15,1
dixie,227,14,29,7,52,3,7,25,17,29,17,27,9319,46.3,151.0,34,107,344721,67,20943.5,20,277.2,25099.7,1496.44,25093.22,1496.05,100.0,3397.91,202.58,13.5,8955.75,533.94,35.7,1735.03,103.44,6.9,6917.78,412.44,27.6,382.33,22.79,1.5,517.55,30.86,2.1,0.784239,0.722065,3.04376,0.25027699999999997,1.78404,0.818632,0.349191,0.991498,0.132938,0.0,1.07609,0.0,0.645029,0.08590199999999999,3.19726,1.4947,1.14378,0.942442,1.50138,0.305109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,233 ,154 ,76 ,3 ,98.7%,0,0,0,0,0,67.2,45.6,56.40000000000001,0
duval,29324,60,3260,813,6007,393,3067,6667,3318,2646,2587,263,388486,484.7,2091.4,603,140,1469346,168,19835.7,248,5397.9,5521355.6,6285.3,4908959.19,5588.17,88.9,1386048.09,1577.82,25.1,647566.51,737.16,11.7,1670654.71,1901.81,30.3,384515.74,437.72,7.0,53808.86,61.25,1.0,112512.7,128.08,2.0,1.0586799999999998,1.411,0.133099,0.9517040000000001,1.11446,0.7528859999999999,2.04882,0.964526,0.635995,0.555399,0.524554,0.228088,0.8789540000000001,0.9439489999999999,1.0824799999999999,0.83711,1.02146,1.42279,0.351619,1.1597,1.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,"37,279 ","23,352 ","12,537 ","1,390 ",96.3%,0,0,0,0,0,44.7,34.9,39.8,15
escambia,8099,33,947,229,1823,96,777,1559,950,812,678,137,136703,259.1,855.5,114,123,641031,74,5707.4,134,2172.7,426772.5,1376.75,420289.26,1355.83,98.5,106223.38,342.67,24.9,148482.33,479.0,34.8,13879.21,44.77,3.3,52096.37,168.06,12.2,35057.88,113.1,8.2,2548.92,8.22,0.6,1.45876,1.02575,0.6282760000000001,0.752899,0.679951,1.15095,0.9259370000000001,0.877516,0.7841229999999999,0.0,0.598517,0.274963,0.90364,0.7792640000000001,1.24861,1.1502,1.62504,0.847498,1.07731,0.511188,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,259 ,155 ,99 ,5 ,98.1%,0,0,0,0,0,42.8,36.8,39.8,6
flagler,2493,16,386,64,427,31,271,533,259,233,214,35,48595,102.4,343.2,38,42,63386,42,4488.0,41,39.6,136253.5,1321.63,138685.64,1345.22,101.8,36913.07,358.05,27.1,47801.78,463.67,35.1,5384.61,52.23,4.0,23407.94,227.05,17.2,2606.79,25.29,1.9,4400.81,42.69,3.2,1.41957,1.37507,0.489231,1.06588,1.05758,0.808057,0.857827,1.05765,0.788849,0.277404,0.553768,0.0851171,1.0379200000000002,0.903861,0.767275,1.90715,1.36801,0.779435,0.5813729999999999,0.8527549999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,"6,749 ","4,351 ","2,164 ",234 ,96.5%,0,0,0,0,0,57.8,48.2,53.0,1
franklin,367,3,44,5,91,11,33,32,27,64,27,30,8652,91.2,182.3,18,126,480085,255,250727.9,45,511.2,33820.5,2838.24,33284.95,2793.3,98.4,4136.14,347.11,12.2,6251.96,524.67,18.5,2112.06,177.25,6.2,4504.1,377.99,13.3,1567.6,131.55,4.6,9376.2,786.86,27.7,1.4859200000000001,1.22812,6.45863,0.966892,0.9611879999999999,0.9087280000000001,0.44467799999999996,0.7632800000000001,0.517245,0.0,0.191353,0.354365,0.8989879999999999,0.36733899999999997,2.3755,2.33011,0.868934,0.890625,1.3533899999999999,1.88883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,51 ,26 ,22 ,3 ,94.1%,"2,220",889,733,598,73.1%,37.8,44.1,40.95,1
gadsden,838,33,140,23,204,9,40,96,91,62,84,51,19506,138.0,414.0,71,307,2676466,236,20315.5,78,4496.9,63147.5,1302.39,66852.08,1378.79,105.9,8457.57,174.43,13.4,12673.78,261.39,20.1,350.08,7.22,0.6,10095.65,208.22,16.0,801.33,16.53,1.3,11101.54,228.96,17.6,0.759173,1.2099,2.25136,0.282402,1.46897,1.3365,0.705281,1.04217,0.697185,0.0,0.334939,0.4347,0.787293,0.578461,3.2808599999999997,0.45216300000000004,0.899307,0.66406,1.64811,0.856985,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,201 ,109 ,90 ,2 ,99.0%,"5,676","3,829",951,896,84.2%,44.8,39.8,42.3,2
gilchrist,335,38,58,11,75,4,17,36,17,23,25,28,7307,60.2,121.7,6,88,284728,9,1392.3,20,402.9,21655.8,1285.37,20886.1,1239.68,96.4,4131.88,245.24,19.1,6932.28,411.46,32.0,1020.74,60.59,4.7,5054.95,300.03,23.3,406.93,24.15,1.9,1117.01,66.3,5.2,1.08399,1.6754900000000001,2.91008,0.264993,1.4167,0.8730559999999999,0.8318760000000001,0.9351200000000001,0.610773,0.0,0.606186,0.404665,0.8428889999999999,0.491616,2.11859,1.65503,1.0675,0.767582,1.1733200000000001,0.5673060000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,199 ,137 ,58 ,4 ,98.0%,0,0,0,0,0,51.7,41.9,46.8,0
glades,160,26,18,7,31,0,11,13,13,10,9,21,6979,85.8,229.5,37,22,268611,68,28233.7,3,53.7,25236.1,1934.24,23342.74,1789.13,92.5,4107.92,314.86,16.3,11349.72,869.91,45.0,952.3,72.99,3.8,3880.77,297.45,15.4,764.95,58.63,3.0,340.14,26.07,1.3,1.29336,0.9526020000000001,12.9092,1.81965,0.803113,1.29576,0.195293,0.29936,0.912458,0.0,0.650614,0.652909,0.706134,0.284641,1.27894,0.592439,1.47201,0.510864,1.50488,0.388194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,"1,127 ",928 ,170 ,29 ,97.4%,0,0,0,0,0,40.4,46.9,43.65,0
gulf,425,6,58,5,124,7,25,44,38,43,39,34,9110,79.0,160.1,25,132,653258,87,32742.0,22,386.0,33892.4,2038.27,34321.59,2064.08,101.3,6630.78,398.77,19.6,7719.17,464.23,22.8,2062.83,124.06,6.1,7948.66,478.03,23.5,2339.07,140.67,6.9,1280.92,77.03,3.8,1.01197,1.7810599999999999,3.0239599999999998,0.69106,1.7317200000000001,0.577026,0.21426199999999998,0.820624,1.23885,0.0,0.398226,0.0,0.8514700000000001,0.9306530000000001,2.0897099999999997,2.6625,0.909907,1.06378,1.22675,0.957676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,16.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,30 ,17 ,13 ,0 ,100.0%,"7,801","4,160","1,039","2,602",66.6%,49.5,44.4,46.95,1
