county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other_x,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade,biomass,coal,hydroelectric,natural gas,nuclear,other_y,petroleum,solar,ihProgramDeclared_Coastal Storm,ihProgramDeclared_Fire,ihProgramDeclared_Flood,ihProgramDeclared_Freezing,ihProgramDeclared_Human Cause,ihProgramDeclared_Hurricane,ihProgramDeclared_Severe Storms,ihProgramDeclared_Tornado,iaProgramDeclared_Coastal Storm,iaProgramDeclared_Fire,iaProgramDeclared_Flood,iaProgramDeclared_Freezing,iaProgramDeclared_Human Cause,iaProgramDeclared_Hurricane,iaProgramDeclared_Severe Storms,iaProgramDeclared_Tornado,paProgramDeclared_Coastal Storm,paProgramDeclared_Fire,paProgramDeclared_Flood,paProgramDeclared_Freezing,paProgramDeclared_Human Cause,paProgramDeclared_Hurricane,paProgramDeclared_Severe Storms,paProgramDeclared_Tornado,hmProgramDeclared_Coastal Storm,hmProgramDeclared_Fire,hmProgramDeclared_Flood,hmProgramDeclared_Freezing,hmProgramDeclared_Human Cause,hmProgramDeclared_Hurricane,hmProgramDeclared_Severe Storms,hmProgramDeclared_Tornado,number of claims_irma,closed claims (paid)_irma,closed claims (not paid)_irma,number claims open_irma,percent claims closed_irma,number of claims_michael,closed claims (paid)_michael,closed claims (not paid)_michael,number claims open_michael,percent claims closed_michael,foreign_avg,us_avg,avg_age,hospitals
hamilton,214,23,15,6,57,1,11,15,25,15,16,27,5778,90.6,297.0,31,141,630089,61,7558.3,8,416.5,22139.3,1509.67,20715.43,1412.58,93.6,3116.62,212.52,14.1,7133.46,486.43,32.2,1212.6,82.69,5.5,5032.46,343.16,22.7,745.15,50.81,3.4,581.62,39.66,2.6,1.0673700000000002,0.655325,4.99025,0.23771799999999998,1.07166,1.3792799999999998,0.6356970000000001,0.986139,0.584435,0.0,0.856785,3.44138,0.5548850000000001,0.273472,2.07972,0.445404,0.798148,2.09465,0.336138,0.124048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,250 ,185 ,61 ,4 ,98.4%,10,4,3,3,70.0%,44.8,40.7,42.75,0
hardee,557,120,34,15,119,4,33,60,48,47,37,38,9722,94.7,222.0,28,57,520814,19,703.4,25,3242.7,42513.5,1538.28,42405.94,1534.39,99.7,14599.33,528.25,34.3,13946.98,504.65,32.8,4129.2,149.41,9.7,4489.78,162.46,10.6,1098.47,39.75,2.6,1090.86,39.47,2.6,0.818072,1.38628,13.1932,0.598757,1.50072,0.890445,0.45731700000000003,0.6550630000000001,0.229386,0.0,0.48758999999999997,5.10251,0.909025,0.37334,1.2365,0.342724,0.9550209999999999,0.829958,2.61568,0.582298,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,"2,015 ","1,403 ",540 ,72 ,96.4%,0,0,0,0,0,41.7,31.3,36.5,1
hendry,867,123,95,33,182,7,53,117,59,72,67,53,14564,64.9,195.5,36,39,74834,21,56237.7,12,3454.9,70987.3,1850.07,71718.99,1869.14,101.0,11273.67,293.81,15.9,22078.57,575.41,31.1,3351.78,87.35,4.7,14671.61,382.37,20.7,753.37,19.63,1.1,925.57,24.12,1.3,0.7885310000000001,1.39352,18.4899,0.503366,1.46231,0.782429,0.37147800000000003,0.589973,0.271715,0.0,0.79267,1.17097,0.691624,0.354457,0.856509,0.578445,0.81245,0.733917,0.712932,1.02358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,"3,652 ","2,805 ",692 ,155 ,95.8%,0,0,0,0,0,42.2,27.7,34.95,1
hernando,3664,36,504,112,708,44,334,682,526,338,285,55,84504,124.6,463.8,36,144,443969,217,68462.5,15,413.0,240858.7,1341.81,232861.62,1297.26,96.7,52927.3,294.85,22.0,83216.13,463.59,34.5,35498.45,197.76,14.7,28509.73,158.83,11.8,3031.37,16.89,1.3,5542.49,30.88,2.3,1.1428200000000002,1.22046,0.5425260000000001,1.0684799999999999,1.15665,0.8556600000000001,0.927398,1.15517,0.6811659999999999,0.134141,0.496364,0.16711099999999998,1.09445,0.6692819999999999,1.03911,1.06403,1.33695,1.12806,1.9987099999999998,0.875483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"2,955 ","1,483 ","1,395 ",77 ,97.4%,0,0,0,0,0,58.5,48.0,53.25,5
highlands,2302,178,262,69,497,21,203,316,317,200,171,60,55386,132.5,397.8,24,73,106905,3522,28024.1,35,1310.6,110103.7,1084.43,119697.12,1178.92,108.7,25914.0,255.23,23.5,52038.24,512.54,47.3,12069.01,118.87,11.0,14340.35,141.24,13.0,2913.81,28.7,2.6,3830.09,37.72,3.5,1.2082600000000001,1.24953,5.62207,0.906795,0.918522,0.983231,0.632588,1.149,0.5079020000000001,0.0,0.360111,0.085765,1.1188799999999999,0.47952700000000004,1.2581799999999999,0.913457,1.31061,0.795362,0.8723639999999999,0.74325,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,"17,090 ","12,312 ","4,231 ",547 ,96.8%,0,0,0,0,0,52.4,52.6,52.5,3
hillsborough,42270,294,4027,1166,8233,668,4818,10437,4923,3427,3319,265,536092,442.9,2001.8,517,171,1545610,84,19712.7,128,2002.4,2995344.1,2214.19,2957379.01,2186.12,98.7,596193.8,440.71,19.9,605754.38,447.78,20.2,364510.6,269.45,12.2,126352.43,93.4,4.2,62403.12,46.13,2.1,207930.26,153.7,6.9,1.0455299999999998,1.26986,1.50166,1.12694,1.05386,0.875555,1.54879,0.9864879999999999,1.0022799999999998,0.769406,0.547903,0.228917,0.932113,1.1142299999999998,0.7971189999999999,1.30856,1.07836,0.905653,0.9256059999999999,0.9612200000000001,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"20,626 ","11,169 ","8,576 ",881 ,95.7%,0,0,0,0,0,44.1,34.6,39.35,19
holmes,333,17,59,10,81,2,22,29,30,23,25,35,8641,104.8,246.2,48,86,383097,12,282.8,26,405.1,18237.1,911.72,17969.96,898.36,98.5,2580.31,129.0,14.1,5857.2,292.82,32.1,304.26,15.21,1.7,6088.45,304.38,33.4,279.08,13.95,1.5,449.08,22.45,2.5,0.898941,1.25906,3.3398,0.07173289999999999,1.56964,0.9661370000000001,0.713925,0.813405,0.7348210000000001,0.0,0.680923,0.9990209999999999,0.761378,0.421778,2.4643900000000003,0.146622,1.2818100000000001,1.22301,1.19874,0.48373900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,22 ,12 ,10 ,0 ,100.0%,917,588,161,168,81.7%,47.7,42.1,44.90000000000001,1
indian river,5084,81,651,140,930,55,527,1063,590,391,552,56,76346,113.7,437.7,42,67,190343,123,18711.6,65,131.0,297700.2,2033.33,274122.79,1872.3,92.1,54836.5,374.54,18.4,81535.58,556.9,27.4,49148.82,335.69,16.5,30991.9,211.68,10.4,424.59,2.9,0.1,7868.39,53.74,2.6,0.945095,1.36342,1.6425400000000001,1.38024,1.26529,0.827886,0.76727,1.0555299999999999,0.636386,0.0,0.549582,0.366927,1.163,0.8561540000000001,0.8866200000000001,2.11343,1.2887600000000001,0.650045,0.802982,1.07647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,"5,874 ","3,893 ","1,764 ",217 ,96.3%,0,0,0,0,0,49.5,51.8,50.65,4
jackson,914,36,87,23,242,13,76,95,99,101,64,73,21003,241.7,637.7,65,471,2396659,66,2563.7,162,6878.7,66169.2,1314.31,63412.19,1259.55,95.8,11425.13,226.94,17.3,13563.03,269.4,20.5,1607.47,31.93,2.4,17737.75,352.32,26.8,810.1,16.09,1.2,1206.56,23.97,1.8,1.33551,0.625814,2.61147,0.46829399999999993,0.79393,1.01914,0.5323760000000001,1.24496,0.6070439999999999,0.0,0.436737,0.243671,0.790605,0.240173,2.83537,0.794377,1.2821200000000001,0.997756,1.38975,0.812242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,133 ,76 ,53 ,4 ,97.0%,"13,362","9,835",969,"2,558",80.9%,36.9,41.6,39.25,1
jefferson,310,26,36,4,68,2,76,95,99,101,64,73,6632,110.7,331.1,43,50,267007,62,46954.1,44,391.1,30243.4,2086.04,29903.86,2062.62,98.9,4731.06,326.33,15.6,8363.45,576.87,27.7,2218.01,152.99,7.3,1972.29,136.04,6.5,347.52,23.97,1.1,355.63,24.53,1.2,0.696315,1.31659,4.98689,0.803825,1.20792,0.9387639999999999,0.934591,1.2652,0.65678,0.0,0.28073200000000004,0.0350716,0.914549,0.654401,3.66353,0.488993,0.656989,0.399149,2.11579,0.038411900000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,146 ,91 ,47 ,8 ,94.5%,174,103,44,27,84.5%,49.3,45.4,47.35,0
lafayette,127,20,10,8,29,2,6,10,12,7,4,19,3328,62.2,124.4,16,68,315813,7,2273.8,10,354.2,11974.6,1389.0,11517.18,1335.94,96.2,2130.93,247.18,17.8,2491.7,289.03,20.8,733.74,85.11,6.1,2452.02,284.42,20.5,100.03,11.6,0.8,131.63,15.27,1.1,0.580559,0.650514,7.545660000000001,0.30792800000000004,0.83542,1.6292200000000001,0.00842404,0.534082,0.07422039999999999,0.0,0.6604359999999999,2.7218,1.27639,0.382025,3.21902,1.37811,0.814294,1.60551,0.745096,0.872499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,109 ,80 ,28 ,1 ,99.1%,0,0,0,0,0,36.7,38.5,37.6,0
lake,8180,152,1155,241,1687,89,847,1444,1071,694,613,104,144996,225.8,766.6,60,153,543605,208,55073.9,61,720.1,312260.1,963.81,324098.46,1000.35,103.8,70830.36,218.62,22.7,129270.32,399.0,41.4,21252.76,65.6,6.8,32973.28,101.77,10.6,7455.68,23.01,2.4,9945.01,30.7,3.2,1.24756,1.42163,1.2726,3.5558099999999997,1.6733900000000002,0.7418520000000001,0.7041689999999999,0.921741,0.876635,1.2284,0.398475,0.288219,1.2240799999999998,0.44222700000000004,0.908769,1.2282799999999998,1.28081,0.521994,1.06608,0.586145,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,"23,978 ","16,095 ","7,062 ",821 ,96.6%,0,0,0,0,0,48.5,46.5,47.5,5
lee,21983,113,3350,561,4225,269,2733,4618,1956,1974,1788,179,371099,171.9,764.7,107,125,903967,1397,43400.6,145,1478.2,1365129.4,2005.95,1334788.0,1961.37,97.8,237298.17,348.69,17.4,261504.53,384.26,19.2,213830.17,314.21,15.7,224926.79,330.51,16.5,27620.63,40.59,2.0,20818.66,30.59,1.5,1.24379,1.64412,0.774229,1.39218,1.82423,0.786462,0.7047899999999999,0.9627450000000001,0.9182790000000001,0.707079,0.33666799999999997,0.43609899999999996,1.0277,0.70934,0.8479969999999999,1.6961,1.2186299999999999,0.7614850000000001,0.583479,1.03341,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,7.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,"84,032 ","54,026 ","24,880 ","5,126 ",93.9%,0,0,0,0,0,46.8,48.6,47.7,7
leon,8653,34,743,128,1425,168,905,2214,906,837,959,255,124136,194.2,682.1,88,259,10136212,241,18153.3,367,2678.8,366955.7,1275.61,382240.59,1328.74,104.2,53527.54,186.07,14.6,104407.94,362.94,28.5,29137.55,101.29,7.9,26040.93,90.52,7.1,6073.6,21.11,1.7,9768.67,33.96,2.7,1.04164,1.02569,0.33824099999999996,0.997128,0.679443,1.58166,0.8335040000000001,0.9046620000000001,0.474181,0.0,0.168787,0.0,1.05306,1.1023,3.5525,1.15306,0.989142,0.43348400000000004,0.61397,0.410879,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,"1,162 ",658 ,469 ,35 ,97.0%,"9,319","5,562","2,525","1,232",86.8%,37.6,30.1,33.85,5
levy,941,69,143,40,205,6,69,96,84,89,77,51,20123,182.4,515.1,45,90,427581,295,93537.7,40,245.9,42984.5,1059.96,43667.76,1076.81,101.6,8165.97,201.37,19.0,20355.54,501.95,47.4,3239.81,79.89,7.5,6067.38,149.62,14.1,794.94,19.6,1.8,1908.95,47.07,4.4,0.8503629999999999,1.14901,4.55311,0.702412,1.6011600000000001,0.795854,0.662335,1.0122,0.396077,0.974982,0.459794,0.0944709,1.29702,0.465395,1.5765200000000001,1.2147299999999999,1.20485,0.9474950000000001,2.02124,0.770842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,585 ,395 ,177 ,13 ,97.8%,0,0,0,0,0,46.9,46.6,46.75,1
liberty,120,17,13,5,21,2,2,4,21,4,6,24,3357,70.1,142.9,17,82,351604,28,37124.8,4,288.5,12854.5,1471.44,11894.92,1361.6,92.5,2241.89,256.63,17.4,3080.16,352.58,24.0,1076.1,123.18,8.4,3435.84,393.3,26.7,277.98,31.82,2.2,267.06,30.57,2.1,0.487857,0.8630700000000001,4.8097,0.0167281,1.46185,1.20838,0.560145,0.9103899999999999,0.20563299999999998,0.0,0.32950100000000004,2.1458,0.758839,0.203132,3.84406,1.1587399999999999,0.670209,0.165716,6.45107,2.28302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,12 ,7 ,4 ,1 ,91.7%,"1,106",840,94,172,84.4%,39.9,36.7,38.3,0
madison,369,24,36,12,93,3,24,30,57,26,28,33,8481,138.5,360.7,43,62,338622,24,1080.0,6,114.7,43113.8,2241.07,42902.57,2230.09,99.5,5610.13,291.62,13.0,9052.12,470.53,21.0,2293.64,119.22,5.3,7033.42,365.6,16.3,436.16,22.67,1.0,545.64,28.36,1.3,0.910041,0.9804360000000001,2.9047,0.244196,1.05059,1.2162899999999999,0.631725,0.9885940000000001,0.203247,0.0,0.9466530000000001,0.0,0.736032,0.473083,2.58682,0.251301,1.0521399999999999,1.01857,1.68725,0.943457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,227 ,156 ,68 ,3 ,98.7%,46,24,11,11,76.1%,42.3,41.6,41.95,1
manatee,10893,104,1490,404,2089,163,1211,2243,1097,955,915,102,172690,209.8,729.1,107,84,308340,94,15806.6,78,49.6,888359.0,2484.29,782312.0,2187.73,88.1,160523.0,448.9,18.1,159410.0,445.79,17.9,161643.0,452.03,18.2,91026.0,254.55,10.2,16171.0,45.22,1.8,31198.0,87.24,3.5,1.21187,1.13583,0.954084,1.22197,1.3809,0.82852,0.761771,0.9258540000000001,0.9596680000000001,1.1030200000000001,0.770753,0.139442,0.9411510000000001,0.819851,0.45757299999999995,1.6532200000000001,1.4313799999999999,0.9744149999999999,0.580955,0.783399,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,"8,872 ","5,244 ","3,374 ",254 ,97.1%,0,0,0,0,0,47.6,47.7,47.65000000000001,5
marion,8348,276,1082,264,1827,79,826,1432,997,730,649,100,164050,249.1,934.7,42,374,1596899,144,51885.6,83,2977.0,427462.9,1236.34,413769.64,1196.73,96.8,73434.98,212.39,17.2,139749.51,404.19,32.7,32927.04,95.23,7.7,44159.22,127.72,10.3,3564.8,10.31,0.8,14436.26,41.75,3.4,1.02288,1.43767,3.6266599999999998,0.827692,1.31807,0.747434,0.583928,1.05241,0.6768890000000001,0.778159,0.705622,0.05810359999999999,1.14239,0.43754899999999997,1.11206,1.05457,1.58331,0.6263880000000001,0.47353500000000004,0.926393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,"10,016 ","5,770 ","3,974 ",272 ,97.3%,0,0,0,0,0,55.0,47.4,51.2,7
martin,6322,69,776,251,1210,61,621,1352,623,555,669,52,78131,159.9,579.8,74,155,680854,135,28975.9,66,644.0,387255.0,2566.81,365600.09,2423.28,94.4,97959.55,649.3,25.3,113974.21,755.45,29.4,71029.73,470.8,18.3,31816.35,210.89,8.2,3132.54,20.76,0.8,6974.05,46.23,1.8,1.08036,1.39301,1.1840000000000002,1.60425,1.41044,0.740051,0.856608,1.05136,0.892589,0.242681,0.535816,0.15465299999999998,1.2073399999999999,1.0837299999999999,0.749472,1.8965299999999998,0.98213,0.637267,2.4266900000000002,0.986583,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,"4,220 ","2,700 ","1,274 ",246 ,94.2%,0,0,0,0,0,45.8,51.9,48.85,4
miami-dade,98180,475,6589,2870,25213,1512,10618,22084,10654,7356,8367,343,989435,580.9,2737.2,695,371,4159975,585,144739.1,144,3713.3,11103483.0,4111.19,10696154.09,3960.37,96.3,2214837.33,820.07,19.9,1429644.06,529.34,12.9,917889.32,339.86,8.3,1578735.56,584.54,14.2,437881.77,162.13,3.9,2056986.05,761.62,18.5,1.20725,1.26657,0.855302,0.9595809999999999,1.28544,0.778172,0.901752,0.900378,0.8471719999999999,0.46045600000000003,0.470164,0.12796300000000002,1.24535,0.887459,0.769257,1.50039,1.07911,1.68753,0.99815,1.31847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,"128,661 ","65,631 ","39,864 ","23,166 ",82.0%,0,0,0,0,0,49.6,24.8,37.2,35
monroe,4494,44,544,85,939,57,517,803,275,720,380,89,52764,119.2,300.9,58,131,368098,2062,68032.0,108,561.5,428503.6,5634.72,421662.55,5544.76,98.4,56892.96,748.13,13.3,108409.72,1425.56,25.3,67128.13,882.72,15.7,25554.64,336.04,6.0,35331.69,464.6,8.2,30166.8,396.69,7.0,2.8923,0.9836370000000001,1.35063,1.89107,1.15691,0.576325,0.57892,0.625323,0.672764,0.6166229999999999,0.23400300000000002,0.256062,0.8938879999999999,0.767658,1.35495,2.3074,1.08595,0.968983,1.80223,0.644101,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,"30,896 ","18,174 ","10,411 ","2,311 ",92.5%,0,0,0,0,0,45.5,47.1,46.3,4
nassau,2166,36,296,46,438,26,203,423,202,234,193,45,35009,111.5,403.9,65,61,132316,95,25294.0,118,9142.7,120258.6,1544.93,114411.36,1469.81,95.1,22278.15,286.2,18.5,42981.44,552.17,35.7,4073.7,52.33,3.4,8217.72,105.57,6.8,4532.56,58.23,3.8,3712.83,47.7,3.1,1.24911,1.15615,0.514876,1.1993200000000002,1.31492,0.6791659999999999,0.8567620000000001,0.967834,0.9199959999999999,0.8088069999999999,0.759202,0.26577399999999995,1.01034,0.7950229999999999,1.1518899999999999,1.30964,1.0489899999999999,1.50948,1.83211,0.835199,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,"4,122 ","2,813 ","1,159 ",150 ,96.4%,0,0,0,0,0,48.9,44.4,46.65,1
okaloosa,6373,21,761,159,1220,69,704,1324,667,750,492,142,92407,215.5,705.4,85,87,420233,169,62924.0,65,214.9,265033.9,1373.77,233687.56,1211.29,88.2,59252.49,307.13,22.4,67737.52,351.11,25.6,35750.51,185.31,13.5,32073.83,166.25,12.1,9174.47,47.55,3.5,4783.44,24.79,1.8,1.60102,1.07918,0.32545799999999997,1.06541,1.13973,0.68095,0.727122,0.732487,0.44698000000000004,0.47779099999999997,0.49449099999999996,0.18253699999999998,1.2643799999999998,1.11427,2.33052,1.88789,1.13662,0.856101,1.15242,0.520233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,266 ,165 ,93 ,8 ,97.0%,0,0,0,0,0,45.1,35.8,40.45,6
okeechobee,986,95,149,27,202,10,58,138,103,88,72,37,18509,103.6,241.9,37,160,746219,27,47439.8,87,1698.8,49990.7,1225.08,47125.8,1154.87,94.3,8195.96,200.85,16.4,21806.26,534.39,43.6,2882.07,70.63,5.8,6126.68,150.14,12.3,625.6,15.33,1.3,2103.73,51.55,4.2,1.03152,1.33921,8.47697,0.9795729999999999,1.4763700000000002,0.9856659999999999,0.528846,0.717137,0.378929,0.0,0.366752,0.125529,1.3289600000000001,0.280194,0.979533,0.501728,1.29043,0.951833,2.67693,0.967893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,"3,837 ","3,040 ",681 ,116 ,97.0%,0,0,0,0,0,42.9,39.5,41.2,1
